platform,date,title,type,views,reach,likes,comments,shares,saves,interactions,avg_watch_sec,total_watch_hours,url
youtube,2026-08-19,컴퓨존 1시간 픽업 서비스,short,978,0,2,0,0,0,2,0,0,https://www.youtube.com/watch?v=YkY_0OF1DW0
youtube,2026-08-13,저장장치 추가 후 활성화 방법,long,257,0,3,0,0,0,3,0,0,https://www.youtube.com/watch?v=rQB8bCnKQLc
youtube,2026-08-13,파티션 분할 및 합치기 안내,long,121,0,2,0,0,0,2,0,0,https://www.youtube.com/watch?v=HmKeEHO22QM
youtube,2026-08-13,내 PC 사양확인 방법,long,312,0,2,0,0,0,2,0,0,https://www.youtube.com/watch?v=SCaUvb4VT7s
youtube,2026-07-29,윈도우 11 USB 제작방법 안내,long,193,0,4,0,0,0,4,0,0,https://www.youtube.com/watch?v=A5yDh6RCk-A
youtube,2026-07-29,MS 오피스 설치 방법 안내,long,312,0,5,0,0,0,5,0,0,https://www.youtube.com/watch?v=CLZf9BbMeLk
youtube,2026-07-22,그래픽카드 라이저킷 장착 방법,long,1419,0,13,0,0,0,13,0,0,https://www.youtube.com/watch?v=bMM-xNB5vI4
youtube,2026-07-22,조립PC 안정화 서비스 안내,long,1029,0,9,0,0,0,9,0,0,https://www.youtube.com/watch?v=JgJBbLsbulE
youtube,2026-07-13,[컴퓨존]그래픽카드 구매 시 확인 사항,long,658,0,12,3,0,0,15,0,0,https://www.youtube.com/watch?v=NTTmeQSyODM
youtube,2026-04-03,[컴퓨존]마에스트로 복구 솔루션 일시 제거 윈도우 업데이트 방법,long,599,0,3,0,0,0,3,0,0,https://www.youtube.com/watch?v=kJrfqr23Eek
youtube,2026-04-03,[컴퓨존]마에스트로 리커버리 복구프로그램 실행법(WIN),long,450,0,2,0,0,0,2,0,0,https://www.youtube.com/watch?v=gqF06GRDgLM
youtube,2026-04-03,[컴퓨존]마에스트로 리커버리 복구프로그램 실행법(DOS),short,486,0,3,0,0,0,3,0,0,https://www.youtube.com/watch?v=Bu_Kxiht7uQ
youtube,2025-11-27,[컴퓨존] A/S 접수시 PC 택배 포장 방법 안내,long,6669,0,52,11,0,0,63,0,0,https://www.youtube.com/watch?v=aUrnAIMxFS4
youtube,2025-07-09,"[웨비나] HP, 컴퓨존이 준비한 Ai PC의 현재와 미래",long,466,0,13,0,0,0,13,0,0,https://www.youtube.com/watch?v=lzyAZO39rhY
youtube,2025-07-06,[컴퓨존]그래픽카드 탈거 방법 안내,short,1588,0,16,2,0,0,18,0,0,https://www.youtube.com/watch?v=Iz0j3gyMhIY
youtube,2025-07-06,[컴퓨존]그래픽카드 장착 방법 안내,short,1404,0,10,0,0,0,10,0,0,https://www.youtube.com/watch?v=lQf6Q5Zq2Yg
youtube,2025-07-06,[컴퓨존]파워 스위치 작동 방법,short,934,0,7,0,0,0,7,0,0,https://www.youtube.com/watch?v=OE5nbw-813c
