platform,date,audience,reach,impressions,views,profile_views
youtube,2026-06-30,7330,0,0,0,0
youtube,2026-07-01,7330,0,0,0,0
youtube,2026-07-02,7330,0,0,74,0
youtube,2026-07-03,7330,0,0,809,0
youtube,2026-07-06,7340,0,0,1124,0
youtube,2026-07-07,7340,0,0,382,0
youtube,2026-07-08,7340,0,0,352,0
instagram,2026-07-08,2043,2363,0,3014,47
youtube,2026-07-09,7340,0,0,411,0
instagram,2026-07-09,2047,2904,0,3954,71
youtube,2026-07-10,7340,0,0,355,0
instagram,2026-07-10,2048,1029,0,1735,51
youtube,2026-07-13,7340,0,0,0,0
instagram,2026-07-13,2049,772,0,890,11
youtube,2026-07-14,7330,0,0,0,0
instagram,2026-07-14,2045,1063,0,2148,41
youtube,2026-07-15,7330,0,0,318,0
instagram,2026-07-15,2041,797,0,1519,51
youtube,2026-07-16,7340,0,0,211,0
instagram,2026-07-16,2044,892,0,1641,35
youtube,2026-07-19,7330,0,0,1106,0
instagram,2026-07-19,2052,1337,0,1571,30
youtube,2026-07-20,7340,0,0,206,0
instagram,2026-07-20,2053,804,0,899,9
youtube,2026-07-21,7340,0,0,219,0
instagram,2026-07-21,2053,548,0,946,31
youtube,2026-07-22,7340,0,0,270,0
instagram,2026-07-22,2056,398,0,762,30
youtube,2026-07-23,7340,0,0,729,0
instagram,2026-07-23,2058,490,0,948,34
youtube,2026-07-26,7350,0,0,1841,0
instagram,2026-07-26,2057,1964,0,2830,32
youtube,2026-07-27,7350,0,0,0,0
instagram,2026-07-27,2056,1191,0,1684,22
youtube,2026-07-28,7350,0,0,217,0
instagram,2026-07-28,2056,1157,0,1827,30
youtube,2026-07-29,7350,0,0,348,0
instagram,2026-07-29,2055,1661,0,2593,38
youtube,2026-07-30,7350,0,0,249,0
instagram,2026-07-30,2057,5594,0,7481,85
youtube,2026-07-31,7350,0,0,0,0
instagram,2026-07-31,2068,33478,0,42926,304
youtube,2026-08-02,7350,0,0,374,0
instagram,2026-08-02,2106,48479,0,61794,510
youtube,2026-08-03,7350,0,0,0,0
instagram,2026-08-03,2114,23389,0,29450,260
youtube,2026-08-04,7350,0,0,212,0
instagram,2026-08-04,2114,7795,0,9751,89
youtube,2026-08-05,7350,0,0,189,0
instagram,2026-08-05,2114,3090,0,4290,56
youtube,2026-08-06,7350,0,0,230,0
instagram,2026-08-06,2112,1857,0,2751,42
youtube,2026-08-07,7350,0,0,323,0
instagram,2026-08-07,2121,3834,0,5449,92
youtube,2026-08-09,7350,0,0,801,0
instagram,2026-08-09,2121,2501,0,3596,52
youtube,2026-08-10,7350,0,0,0,0
instagram,2026-08-10,2121,1860,0,2594,35
youtube,2026-08-11,7350,0,0,240,0
instagram,2026-08-11,2124,4744,0,6090,79
youtube,2026-08-12,7350,0,0,265,0
instagram,2026-08-12,2137,9544,0,13190,226
youtube,2026-08-13,7350,0,0,272,0
instagram,2026-08-13,2144,6099,0,7961,102
youtube,2026-08-14,7350,0,0,0,0
instagram,2026-08-14,2143,2788,0,4235,58
youtube,2026-08-17,7360,0,0,1994,0
instagram,2026-08-17,2148,3259,0,4790,70
youtube,2026-08-18,7360,0,0,180,0
instagram,2026-08-18,2148,1946,0,2870,48
youtube,2026-08-19,7350,0,0,214,0
instagram,2026-08-19,2148,1657,0,2512,33
youtube,2026-08-20,7360,0,0,1748,0
instagram,2026-08-20,2147,1470,0,2415,33
youtube,2026-08-21,7360,0,0,1594,0
instagram,2026-08-21,2151,1526,0,2559,55
youtube,2026-08-25,7360,0,0,1651,0
instagram,2026-08-25,2150,733,0,1217,30
youtube,2026-08-26,7360,0,0,2495,0
instagram,2026-08-26,2150,803,0,1230,24
youtube,2026-08-27,7360,0,0,0,0
instagram,2026-08-27,2155,3001,0,4566,133
youtube,2026-08-28,7360,0,0,2016,0
instagram,2026-08-28,2156,1107,0,1880,46
youtube,2026-08-30,7370,0,0,2687,0
instagram,2026-08-30,2158,1935,0,2567,38
instagram,2026-08-31,2158,1953,0,2586,38
youtube,2026-08-31,7370,0,0,482,0
youtube,2026-09-01,7370,0,0,442,0
instagram,2026-09-01,2159,1628,0,2202,32
